tf,confidence,target,mor,likelihood
Aebp2,E,Cfap97,1,1
Aebp2,E,Cfp,1,1
Aebp2,E,Cggbp1,1,1
Aebp2,E,Chic1,1,1
Aebp2,E,Chml,1,1
Aebp2,E,Chmp2b,1,1
Aebp2,E,Chordc1,1,1
Aebp2,E,Cldnd1,1,1
Aebp2,E,Cluh,1,1
Aebp2,E,Cnbp,1,1
Aebp2,E,Cnot2,1,1
Aebp2,E,Cnot4,1,1
Aebp2,E,Cnot6,1,1
Aebp2,E,Cnot6l,1,1
Aebp2,E,Cnot7,1,1
Aebp2,E,Cnrip1,1,1
Aebp2,E,Commd10,1,1
Aebp2,E,Cops2,1,1
Aebp2,E,Cpeb3,1,1
Aebp2,E,Cped1,1,1
Aebp2,E,Creb1,1,1
Aebp2,E,Cryzl1,1,1
Aebp2,E,Csnk1g3,1,1
Aebp2,E,Ctdspl2,1,1
Aebp2,E,Ctnnal1,1,1
Aebp2,E,Cttnbp2nl,1,1
Aebp2,E,Cwc22,1,1
Aebp2,E,Cwc27,1,1
Aebp2,E,Cwf19l2,1,1
Aebp2,E,Cyld,1,1
Aebp2,E,Daam1,1,1
Aebp2,E,Dars,1,1
Aebp2,E,Dck,1,1
Aebp2,E,Dcun1d4,1,1
Aebp2,E,Dek,1,1
Aebp2,E,Dennd5b,1,1
Aebp2,E,Dennd6a,1,1
Aebp2,E,Dgkh,1,1
Aebp2,E,Dnajb4,1,1
Aebp2,E,Dnajb6,1,1
Aebp2,E,Dph6,1,1
Aebp2,E,Dpm1,1,1
Aebp2,E,Dpp3,1,1
Aebp2,E,Dpy19l4,1,1
Aebp2,E,Dtwd1,1,1
Aebp2,E,Dusp11,1,1
Aebp2,E,Dync1li1,1,1
Aebp2,E,Dynlt3,1,1
Aebp2,E,Dyrk1a,1,1
Aebp2,E,Dzip1,1,1
Aebp2,E,Ecd,1,1
Aebp2,E,Eea1,1,1
Aebp2,E,Efr3a,1,1
Aebp2,E,Egln1,1,1
Aebp2,E,Eif3e,1,1
Aebp2,E,Eif4a2,1,1
Aebp2,E,Eif4e,1,1
Aebp2,E,Elf1,1,1
Aebp2,E,Elk4,1,1
Aebp2,E,Emc2,1,1
Aebp2,E,Enah,1,1
Aebp2,E,Epc1,1,1
Aebp2,E,Epc2,1,1
Aebp2,E,Esco1,1,1
Aebp2,E,Esyt2,1,1
Aebp2,E,Exoc5,1,1
Aebp2,E,Exoc6b,1,1
Aebp2,E,Fah,1,1
Aebp2,E,Fam122a,1,1
